superClass,superClassLabel,class,classLabel
http://purl.obolibrary.org/BIO/BIO_0000707,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-Moderate-plus Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001965,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-Moderate-plus Profile Breast Implant 350-3501BC
http://purl.obolibrary.org/BIO/BIO_0000662,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-Ultra-high Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001053,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-Ultra-high Profile Breast Implant 350-5750BC
http://purl.obolibrary.org/BIO/BIO_0000699,MENTOR MemoryGel Silicone Gel-Filled SILTEX Round-High Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0000709,MENTOR MemoryGel Silicone Gel-Filled SILTEX Round-High Profile Breast Implant 354-4700
http://purl.obolibrary.org/BIO/BIO_0000707,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-Moderate-plus Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001382,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-Moderate-plus Profile Breast Implant 350-4251BC
http://purl.obolibrary.org/BIO/BIO_0000730,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-Moderate Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0000734,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-Moderate Profile Breast Implant 350-7125BC
http://purl.obolibrary.org/BIO/BIO_0000699,MENTOR MemoryGel Silicone Gel-Filled SILTEX Round-High Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0000712,MENTOR MemoryGel Silicone Gel-Filled SILTEX Round-High Profile Breast Implant 354-4150
http://purl.obolibrary.org/BIO/BIO_0000707,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-Moderate-plus Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001969,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-Moderate-plus Profile Breast Implant 350-1501BC
http://purl.obolibrary.org/BIO/BIO_0000707,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-Moderate-plus Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001749,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-Moderate-plus Profile Breast Implant 350-4751BC
http://purl.obolibrary.org/BIO/BIO_0000730,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-Moderate Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001336,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-Moderate Profile Breast Implant 350-7700BC
http://purl.obolibrary.org/BIO/BIO_0000717,MENTOR MemoryGel Silicone Gel-Filled SILTEX Round-Moderate Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001330,MENTOR MemoryGel Silicone Gel-Filled SILTEX Round-Moderate Profile Breast Implant 354-3007
